"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Monitoring the Project Progress"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Monitoring the Project Progress"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Plan and Organize"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Plan and Organize"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Buildings"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Buildings"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Finances"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Finances"
"What updates HIS Benchmarking Method?"	"HIS Benchmarking"	"Information Management"	"Continuous Quality Improvement Process"	"Permanent Monitoring"
"What updates HIS Benchmarking Method?"	"HIS Benchmarking"	"Information Management Function"	"Continuous Quality Improvement Process"	"Permanent Monitoring"
"What updates IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"	"Operationalization of Methods and Detailed Study Plan"
"What updates Controlling Report?"	"Controlling"	"Administrative Function"	"Financial Controlling"	"Material Controlling"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Analysis"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Analysis"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Storage"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Storage"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Long-Term HIS Planning"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Long-Term HIS Planning"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Making a Backup"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Making a Backup"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Message Encryption"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Message Encryption"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Monitor and Evaluate"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Monitor and Evaluate"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Network Monitoring"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Network Monitoring"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Planning"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Planning"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What entity type component Resource?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Laboratory Study"
"What entity type component DICOM File Format?"	"DICOM Standard"	"Communication Standard"	"Communication Standard"	"International DICOM Committee"
"What entity type component DICOM Message Format?"	"DICOM Standard"	"Communication Standard"	"Communication Standard"	"International DICOM Committee"
"What entity type component DICOM Network Protocol?"	"DICOM Standard"	"Communication Standard"	"Communication Standard"	"International DICOM Committee"
"What entity type component IHE Integration Profile?"	"Standard"	"Communication Standard"	"Communication Standard"	"Information Management Entity Type"
"What entity type component SOA Service?"	"SOA"	"3LGM²-S"	"Access Integration"	"Integration Platform"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"Information Management Entity Type"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"Information Management Entity Type"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Information System Metamodel"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Information System Metamodel"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Organizational Metamodel"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Organizational Metamodel"
"What entity type component Computer-Based Tool?"	"HIS Architecture"	"Architecture of an Information System"	"Heterogeneous Architecture"	"Non-Computer-Based Information Processing Tool"
"What function component Financial Controlling?"	"Controlling"	"Administrative Function"	"Management"	"Material Controlling"
"What function component Financial Controlling?"	"Controlling"	"Administrative Function"	"Management Function"	"Material Controlling"
"What function component First Study Design?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Operationalization of Methods and Detailed Study Plan"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Analysis"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Analysis"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Health Care Networks"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Health Care Networks"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Storage"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Storage"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Long-Term HIS Planning"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Long-Term HIS Planning"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Modeling Information Systems"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Modeling Information Systems"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Monitoring the Project Progress"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Monitoring the Project Progress"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Network Monitoring"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Network Monitoring"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Monitoring"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Monitoring"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Planning"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Planning"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Procedures"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Procedures"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What function component Staff Controlling?"	"Controlling"	"Administrative Function"	"Financial Controlling"	"Material Controlling"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What entity type component Study Objective?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Laboratory Study"
"What entity type component Study Participant?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Laboratory Study"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Life Cycle Management of Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Life Cycle Management of Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Monitor and Evaluate"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Monitor and Evaluate"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Monitoring the Project Progress"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Monitoring the Project Progress"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Network Monitoring"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Network Monitoring"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Directing"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Plan and Organize"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Plan and Organize"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Buildings"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Buildings"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Health Care Networks"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Health Care Networks"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Processing"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Storage"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Storage"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Life Cycle Management of Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Life Cycle Management of Strategic Information Management Plan"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Management of User Accounts"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Management of User Accounts"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Message Encryption"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Message Encryption"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Monitor and Evaluate"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Monitor and Evaluate"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Monitoring"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational HIS Monitoring"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Operational Information Management"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Permanent Monitoring"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Plan and Organize"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Plan and Organize"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Finances"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Finances"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Planning of Organizational Structures"
"What decreases Data Collection Effort?"	"Data Integration"	"Double Examination"	"Federated Database System"	"Multiple Usability of Data"
"What decreases Double Examination?"	"Data Integration"	"Federated Database System"	"HL7 CDA"	"ISO/IEEE 11073 Family of Standards"
"What decreases Double Examination?"	"Data Integration"	"Federated Database System"	"HL7 CDA"	"Multiple Usability of Data"
"What increases Quality of Data?"	"Data Integration"	"Double Examination"	"Federated Database System"	"ISO/IEEE 11073 Family of Standards"
"What increases Quality of Data?"	"Data Integration"	"Double Examination"	"Federated Database System"	"Multiple Usability of Data"
"What supports Enterprise Function?"	"Application Component"	"Computer-Based Application Component"	"Heterogeneity of the HIS Architecture"	"Information Management Entity Type"
"What supports Enterprise Function?"	"Application Component"	"Computer-Based Application Component"	"Heterogeneity of the HIS Architecture"	"Information System"
"What supports Enterprise Function?"	"Application Component"	"Computer-Based Application Component"	"Heterogeneity of the HIS Architecture"	"Paper-Based Application Component"
"What supports Enterprise Function?"	"Application Component"	"Computer-Based Application Component"	"Heterogeneity of the HIS Architecture"	"Physical Data Processing System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Intregration Platform"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Laboratory Information System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Medical Documentation System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Pathology Information System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Patient Administration System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Pharmacy Information System"
"What entity type component 3LGM² Location?"	"3LGM² Physical Tool Layer"	"3LGM² Tool Class"	"3LGM² Transmitting Medium"	"Information Management Entity Type"
"What entity type component 3LGM² Organizational Unit?"	"3LGM² Domain Layer"	"3LGM² Entity Type"	"3LGM² Information Process"	"Information Management Entity Type"
"What entity type component 3LGM² Physical Data Processing System?"	"3LGM² Physical Tool Layer"	"3LGM² Tool Class"	"3LGM² Transmitting Medium"	"Information Management Entity Type"
"What entity type component Business Process Model?"	"Business Reference Model"	"Data Model"	"Information Processing Model"	"Organizational Model"
"What entity type component Medical Documentation System?"	"Clinical Information System"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Nursing Management and Documentation System"
"What entity type component Medical Documentation System?"	"Clinical Information System"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Outpatient Management System"
"What entity type component Nursing Management and Documentation System?"	"Clinical Information System"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Medical Documentation System"
"What entity type component Nursing Management and Documentation System?"	"Clinical Information System"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Outpatient Management System"
"What entity type component Outpatient Management System?"	"Clinical Information System"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Medical Documentation System"
"What entity type component Outpatient Management System?"	"Clinical Information System"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Nursing Management and Documentation System"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Hospital Function"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Hospital Function"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Monitoring of Vital Signs"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Monitoring of Vital Signs"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Nursing Discharge and Nursing Report Writing"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Nursing Discharge and Nursing Report Writing"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Order Entry"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Order Entry"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Patient Admission"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Patient Admission"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Patient Discharge and Transfer to Other Institutions"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Patient Discharge and Transfer to Other Institutions"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical Admission"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical Admission"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical and Nursing Care Planning"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical Discharge and Medical Report Writing"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Medical Discharge and Medical Report Writing"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Order Entry"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Order Entry"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Admission"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Admission"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Discharge and Transfer to Other Institutions"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Discharge and Transfer to Other Institutions"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Hospital Function"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Hospital Function"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Monitoring of Vital Signs"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Monitoring of Vital Signs"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Admission"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Care Planning"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Discharge and Nursing Report Writing"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Nursing Discharge and Nursing Report Writing"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Opening a Patient Record"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Order Entry"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Order Entry"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Discharge and Transfer to Other Institutions"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Patient Discharge and Transfer to Other Institutions"
