"callret-0"	"callret-1"	"callret-2"	"callret-3"	"callret-4"
"Monitoring means continually checking whether the initiated projects are running as planned and whether they will produce the expected results. Monitoring results infl uence project planning, as a project’s plan may be updated or changed according to the results of the project’s monitoring in a given situation"	"Tactical HIS Monitoring"	"Project"	"Function"	"IT Evaluation Study"
"Provides many features of a clinical information system (CIS) and a radiology information system (RIS) while tailoring the special needs of a cardiology department"	"Cardiovascular Information System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"If a HIS (or its subinformation system) comprises only one database to store all patient-related data, we call this the DB 1 style. This single database is often called the central database."	"DB1 Style"	"Architectural Style of the Logical Tool Layer"	"Database Style"	"V1 Style"
"The set of all physical data processing systems in a health care institution is called the infrastructure of its HIS. TX can be described by the overall number of physical data processing systems, by the average number of physical data processing systems per unit (e.g., two personal computers and one laptop per ward), or per staff member."	"HIS Infrastructure"	"entity type"	"software product"	"3LGM² Physical Data Processing System"
"For example, the mobile tools used on a ward can be updated with new memory easily."	"flexible physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"For example, the bedside computer does not dominate the physician-patient relationship."	"AppropriatePhysicalDataProcessingSystem"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"Classes contain the attributes and methods of a set of similar entities."	"UML Class"	"entity type"	"software product"	"UML Attribute"
"Responsible for financial planning and record keeping of an enterprise."	"Chief Financial Officer"	"HIS Stakeholder"	"Hospital Staff"	"Human Resource"
"Provides many features of a CIS while tailoring the special needs of a dialysis department, has interfaces to hemodialysis machines"	"Dialysis Information System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"Is an operating X (OR), doctor’s office, or waiting X"	"Room"	"Resource"	"Resource"	"Administrative Entity Type"
"A computer-based physical data processing tool, for example, a terminal, server, or personal computer. Xs can be physically connected via data wires, leading to physical networks."	"Computer System"	"Information Processing Tool"	"Physical Data Processing Tool"	"3LGM² Physical Data Processing System"
"Communication standards describe how messages of a certain data format are communicated when a certain event occurs"	"3LGM²-M Communication Standard"	"UML Attribute"	"UML Class"	"UML Method"
"X is responsible for operating the components of the hospital information system. It has to care for its operation in accordance with the strategic information management plan."	"Operational Information Management"	"Backbone"	"Law"	"Model"
"Xs show medium degrees of centrality and intensity."	"Balanced Network"	"Hospital"	"Pharmacy"	"entity type"
"X may be initiated when larger changes of a component are planned, or when sudden larger problems of HIS components have been observed. Ad hoc activities help to analyze a certain situation in detail, in order to better understand reasons and consequences of an observed or expected problem. The execution of those ad hoc activities entails systems evaluation studies which are planned and conducted by tactical information management."	"Ad Hoc Monitoring"	"Project"	"Function"	"HIS Component"
"For controlling purposes, it is necessary to keep track of services, their costs, and who has received them. X usually investigates which costs incur (cost-type accounting), where costs incur (cost center accounting), and for what activities or services costs incur (cost unit accounting). According to the accounting purpose, the time period to be observed and the scope of the costs to be accounted have to be defined. The results of X , that is, KPIs , serve as input for controlling"	"Cost Accounting"	"Bill"	"Service"	"Administrative Function"
"Quality of the information processes that are necessary to meet the user's needs, such as single recording and multiple usability of data, no transcription of data, leanness of information processing tools, efficiency of information logistics, and patient-centred information processing."	"Quality of HIS Processes"	"HIS Quality"	"3LGM² Enterprise Function"	"3LGM² Entity Type"
"MDDs are central catalogs of medical concepts and terms that offer the possibility of representing the semantic relationships among all data stored in a HIS, and of linking that local vocabulary to internationally standardized nomenclatures and knowledge sources. MDDs can be independent application components or part of existing application components."	"Medical Data Dictionary"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"Is a representation of an object class and of the data describing the objects of this class, if these data are stored or could/should be stored in the information system."	"Entity Type"	"top class"	"entity type"	"Function"
"X comprises the management of buildings, areas, and utilities of the hospital and also influences KPIs"	"Facility Management"	"Administrative Function"	"Administrative Entity Type"	"Facility and Area"
"X is guaranteed when different application components represent data as well as user interfaces in a unified way."	"Presentation Integration"	"Integration"	"Information Management Entity Type"	"Quality of Computer-Based Application Components and Their Integration"
"A message type describes a class of uniform messages and determines which data about which entity types is communicated by a message belonging to this message type."	"3LGM²-M Message Type"	"UML Attribute"	"UML Class"	"UML Method"
"Is a person working in the hospital, i.e., a doctor, nurse, administrative staff member, IT staff member, etc."	"Human Resource"	"Resource"	"Resource"	"Administrative Entity Type"
"Connection of physical data processing systems, e.g., by communication network or courier service. Uses transmitting media such as signal-based media (cable) or nonsignal-based media (e.g., paper)."	"Data Transmission Connection"	"entity type"	"software product"	"Information Management Entity Type"
"Is stored in the doctors’ and nurses’ heads as well as in available media"	"Medical and Nursing Knowledge"	"Resource"	"Resource"	"Administrative Entity Type"
"Is a regulation or law to be observed by health care institutions (see examples in Sect. 8.4.3)"	"Health Care Regulation"	"entity type"	"software product"	"Information Management Entity Type"
"Standard for patient transfer and discharge"	"EN12538"	"EDIFACT"	"Communication Standard"	"Data Integration"
"An  economic  analysis  to  compare  the  costs  and  consequences of an information system component. It does not require that all important effects and beneﬁ ts are expressed in monetary terms. An economic analysis to compare the costs and consequences of a component of an information system. It does not require that all important effects be expressed in monetary terms."	"Cost-Effectiveness Analysis"	"Cost Analysis"	"Economic Analysis"	"Evaluation Method"
"Application component that contains data which have been extracted from other application components, in order to support either hospital management or clinical research."	"Data Warehouse System"	"Computer-Based Application System"	"Education"	"computer based application component"
"A non-computer-based application Component."	"Organizational System"	"top class"	"entity type"	"Function"
"Assessment of the compliance with certain predefined quality characteristics. For example, ISO 9001 standard assesses the hospital’s compliance with certain quality management standards, and the Joint Commission assesses the quality of processes related to patient care, hospital management, and information management. CCHIT and EuroRec certify functionality, security, and interoperability of electronic health records."	"Certification"	"top class"	"entity type"	"Function"
"Information processing, therefore, should center on the patient (not on the institution)"	"Patient-Centered Information Processing"	"HIS Quality"	"3LGM² Information Process"	"Quality of HIS Processes"
"An application component where the controlling rules for data processing are not implemented as executable software but as organizational rules."	"Non-Computer-Based Application Component"	"top class"	"entity type"	"Function"
"Xs, which are used to build models describing the information processing tools usedXs, which are used to build models describing the information processing tools used"	"Technical Metamodel"	"Framework"	"Metamodel"	"Metamodel"
"Planning in tactical information management means planning projects and all the resources needed for them."	"Tactical HIS Planning"	"Project"	"Function"	"Project"
"User support unit serving as first contact for all user groups with any kinds of information processing problems. It may consist, for example, of a central 24-h-hotline (service desk) that is responsible for the management of user accounts and first troubleshooting, or of decentralized information processing staff. When the X cannot solve the problems, it hands them over to the second-level support."	"First-Level Support"	"IT Support"	"Information Management"	"Information Management"
"X defines onotologies and provides open source software tools for maintaining and managing patient-centric electronic health records. It contains clinical models of content and processes, which are known as archetypes"	"OpenEHR"	"top class"	"entity type"	"Function"
"The categories used in a qualitative content analysis are defined beforehand and refined while analyzing the text."	"Mixed Approach"	"entity type"	"software product"	"Information Management Entity Type"
"Whether software products support different standards for integration (such as HL7) as introduced in Sect. 6.5.4 is another important aspect of quality of structures. Otherwise integration in AC n architectures is hardly reachable in an economically reasonable way."	"Standardization of Interfaces"	"Standard"	"3LGM²-M Communication Standard"	"Communication Standard"
" can be characterized by the following questions: • Who wants the information from the evaluation study? (Identify the major sponsors for the evaluation.) • What is the strategic objective of the study? • What is the intended audience? • What is the organizational and political context for the evaluation studies to take place? • What are the major stakeholder groups that should be involved in the preparation of the study? • What is the available budget ? • Is there sufficient political acceptance in the institution to go on?"	"Study Exploration"	"Research and Education Function"	"Approval to a Study"	"Hospital Function"
"If an entity type E is updated by an enterprise function and this entity type’s data are stored in an application component, we call this combination the ‘ X of entity type E’. Recording of data. Is not considered as enterprise function but takes place every time an enterprise function is executed, new information is generated, and respective data are stored."	"Documentation"	"top class"	"entity type"	"Function"
"Part of an institution which can be defined by responsibilities (e.g., the radiology department). Xs perform enterprise functions."	"Organizational Unit"	"top class"	"entity type"	"Function"
"Application component supporting documentation and presentation of vital signs, physician orders, procedure documentation, findings, and other clinical information. Central tool for inter-professional communiation within the health care professional team."	"Patient Chart System"	"Non-Computer-Based Application System"	"Patient Care"	"Application Component"
" An economic analysis that compares costs and consequences of an information system component, taking personal preferences into account by including weighting factors for each criterion.  "	"Utility Analysis"	"System Selection Method"	"Economic Analysis"	"Evaluation Method"
"Is the application component made available at all places where it is needed? This means: Is access integration guaranteed (see Sect. 6.5.3.3 )? For example, is the RIS available in all treatment rooms of the outpatient unit?"	"Availability of Application Components"	"Quality of Computer-Based Application Components and Their Integration"	"Quality of HIS Structures"	"Software Quality"
"defines specific quality characteristics for software ergonomics"	"ISO 9241"	"Standard"	"ISO Standard"	"ISO 9241-110"
"Form of communication where the application component sending a message will continue its tasks without interruption even when awaiting a response message from the communication partner."	"Asynchronous Communication"	"Communication"	"Information Management Entity Type"	"Master Application Component"
"Availability of technical or human resources needed for information processing. It comprises quality of data, quality of computer-based application components, quality of physical data processing systems, and quality of HIS architectures."	"Quality of HIS Structures"	"HIS Quality"	"Information Management Entity Type"	"Quality of Patient Care"
"The information processing and information storing subsystem of a health care organization, which may be a single institution, e.g. a hospital, or a group of health care institutions like a health care network. The HIS deals with processing data, information, and knowledge in health care environments. It has a computer-based part and a non-computer-based part. Xs can be differentiated into institutional information systems (such as hospital information systems) and transinstitutional Xs."	"Health Information System"	"Data"	"Documentation"	"Metamodel"
"A group of two or more legally separated health care institutions that have temporarily and voluntarily joined together to achieve a common purpose.           The information system of a X is called a transinstitutional health information system."	"Health Care Network"	"top class"	"Hospital"	"Organization"
"X decides on questions of fundamental importance for the hospital development (hospital goals, strategic decisions, personnel decisions and decisions about budget , investments, and key treatments)."	"Hospital Management"	"Directing"	"Monitoring"	"Planning"
"X makes intermediary updates of data inside the transaction invisible"	"Isolation"	"entity type"	"software product"	"Information Management Entity Type"
"Provides many features of a CIS while tailoring the special needs of an oncology department"	"Oncology Information System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"X means that all necessary measures have been taken to ensure integrity of data by integration"	"Integrated HIS"	"Integration"	"entity type"	"software product"
"Functional redundancy deals with the adequate relationship between enterprise functions and application components to support these tasks."	"Functional Redundancy Rate"	"top class"	"entity type"	"Function"
"Quality of processes describes the quality of activities carried out by care providers (e.g., adherence to professional standards, appropriateness of care)."	"Quality of Health Care Processes"	"Quality"	"Process Integration"	"Quality of Outcome"
"Costs for information management comprise, e.g., overall costs, costs in relation to number of users or number of workstations."	"Information Management Cost"	"entity type"	"software product"	"Information Management Entity Type"
"A model is called a X for a certain class of systems and a certain class of questions or tasks dealing with these systems, if it provides model patterns supporting • the derivation of more specific models through modifications, limitations, or completions (generic Xs) or • direct comparison of different models with the X concerning certain quality aspects of the modeled systems (e.g., completeness, styles of system’s architecture) (nongeneric Xs)."	"Reference Model"	"Framework"	"Metamodel"	"Model"
"Unlike HL7 messages, CDA documents are persistent records of medical information (such as diagnostic reports, discharge summaries , or lab reports), also based on an XML encoding. CDA supports free text as well as fully 26 http://www.unece.org/trade/untdid/welcome.htm 6.5 Logical Tool Layer: Integration of Application Components 155 structured, machine-processable information. Document templates (so-called implementation guidelines) define CDA-based document structures for specific use cases such as a discharge summary or a radiology report"	"HL7 Version 3"	"Standard"	"Telemicroscopy"	"Teleradiology"
"Architectural style at the physical tool layer, comprising various servers and clients, interconnected by a network. The server offers services that can be accessed by the workstations as clients."	"Client-Server Architecture"	"2-tier Architecture"	"Application Server"	"Architectural Style of The Physical Tool Layer"
"Gathering and aggregating financial and other data about the hospital’s operation in order to control and optimize them. This covers, for example, staff X, process X, material X, and financial X."	"Controlling"	"Diagnosis"	"Directing"	"Monitoring"
"An acquired or self-developed piece of software that is complete in itself and that can be installed on a computer system. Controls computer-based application components."	"Software Product"	"Vendor"	"entity type"	"Product"
"actions to be undertaken in health care in order to process data and information and to thereby contribute to the mission of health care. A X is an enterprise function of a hospital."	"Hospital Function"	"Activity"	"Function"	"Enterprise Function"
"X is a message format developed and maintained by the United Nations Centre for Trade Facilitation and Electronic Business (CEFACT) as a standard format for electronic data interchange in electronic commerce (e.g., purchase orders, dispatch/delivery information, and inventory reports)."	"EDIFACT"	"Consistency"	"Integration"	"Standard"
"Application component that supports the management of all resources of an organization, including controlling, financial accounting, facility management, human resources management, quality management, and supply and disposal management."	"Enterprise Resource Planning System"	"Computer-Based Application System"	"Bill"	"Catering"
"For example, a mobile tool allows easy data entry by a touch screen."	"usable physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"Demographics Query (PDQ) Integration Profile is to implement a central patient information server that is queried by other application components and retrieves the patient ’s demographic and visit information. The query can be based on the partial or complete patient name, a patient ID, date of birth, age range, or bed ID."	"IHE Patient Demographics Query"	"IHE Actor"	"IHE Integration Profile"	"IHE Transaction"
"Like data integration, X is concerned with data. X is           guaranteed if different application components use the same system of concepts, i.e. they interpret data the same way."	"Semantic Integration"	"Integration"	"Information Management Entity Type"	"Quality of Computer-Based Application Components and Their Integration"
"Important communication standard in health care supporting the transfer of patient- and case-based messages, excluding image data. HL7 describes the events and structure of messages that are exchanged between application components."	"HL7 Standard"	"Standard"	"IHE Integration Profile"	"3LGM²-M Communication Standard"
"An economic analysis that converts effects of an information system component into the same monetary terms as the costs and compares them. An economic analysis to compare the costs and consequences of a component of an information system. It converts effects of an information system component into the same monetary terms as the costs."	"Cost–Benefit Analysis"	"Cost Analysis"	"Economic Analysis"	"Evaluation Method"
"Die Ergebnisdokumentation enthält die Ergebnisse der einzelnen Arbeitspakete. Die Art der Dokumente, die hier entstehen, hängt vom Projekt selber ab (z. B. Analyseberichte, Pflichtenhefte, Schulungskonzepte oder Evaluationsberichte)."	"Result Document"	"top class"	"entity type"	"Function"
"Digital Imaging and Communications in Medicine ( DICOM ) is a standard maintained by the International DICOM Committee that addresses the integration requirements of the medical imaging sector. Important communication standard in health care, used for the transfer of medical images and related information. DICOM not only defines a message format, but also couples this closely with exchange formats."	"DICOM Standard"	"Consistency"	"Integration"	"Standard"
"An application component where the controlling rules for data processing are implemented as executable software."	"Computer-Based Application Component"	"Computer-Based Application System"	"computer based application component"	"application component"
"Administrative admission triggers the opening of a patient record. The patient record may be electronic or paper-based or a mixture of both. For the filing formats of documents standards have to be established and used."	"Opening a Patient Record"	"Bed"	"Case"	"Patient"
"X guarantees that either all of the tasks of a transaction are performed or none of them are."	"Atomicity"	"entity type"	"software product"	"Information Management Entity Type"
"Based on a description of the hospital‟s strategic goals (e.g., presented in a mission statement), the Xs should be derived using the method of strategic alignment. (chapter 9.4) The challenge of information management is to keep the balance between the different - and possible contradicting- goals of the hospital. (chapter 8.5)"	"Strategic Information Management Goal"	"entity type"	"software product"	"Information Management Entity Type"
" This comprises all forms of semi- or unstructured interviews that use open questions, thus generating free-text as results."	"Qualitative Interview"	"Information Acquisition Method"	"Information Acquisition Method (Specification)"	"Interview"
"Defines the hospital’s long-term strategic goals"	"Business Strategy"	"entity type"	"Management Entity Type"	"Strategic Goal of the Institution"
"Set of persons, things, events and their relationships that forms an integrated whole. We distinguish between natural Xs and artificial (man-made) Xs. A X can be divided into subXs."	"System"	"top class"	"entity type"	"Function"
"Class of uniform messages, determines which data about which entity types are communicated by a message belonging to this X. A X can belong to a communication standard."	"Message Type"	"entity type"	"software product"	"Information Management Entity Type"
"has only functionalities for displaying and for data entry, but has no storing capability."	"Terminal"	"Client"	"Workstation"	"Computer-Based Tool"
"Such a X supports the project manager by providing an interface between the project manager, future user groups, vendors involved in the project, and strategic information management authorities like CIO and information management board."	"Project Management Board"	"Change Request"	"Conflict Management"	"Decision and Contract Conclusion"
"In the 3LGM², the domain layer describes what kinds of activities in a health care institution are enabled by its information system and what kind of data should be stored and processed, independent of its implementation. Consequently, the domain layer describes enterprise functions and entity types."	"3LGM² Domain Layer"	"entity type"	"software product"	"UML Class"
"Is a substance administered to a patient for treatment, diagnosis , or prevention"	"Drug"	"Resource"	"Resource"	"Administrative Entity Type"
"consist of classes, abstract classes and associations between classes."	"UML Class Diagram"	"Model"	"UML Abstract Class"	"UML Association"
"Xs show a low degree of centrality and intensity. They are typically regional bordered, homogeneously configured, and are based on social structures."	"Loosely Coupled Network"	"Hospital"	"Pharmacy"	"entity type"
"In the 3LGM2, the X describes the set of application components used in a health care institution to support its enterprise functions. On this layer, application components communicate representations of entity types as messages via comunication links and store them as data."	"Logical Tool Layer"	"Communication Link"	"entity type"	"software product"
"Model focusing on the dynamic view of information processing. Concepts typically offered are activities and their chronological and logical order. Often, other concepts can be added, such as the role or organizational unit that performs an activity, or the information processing tools that are used. Because of the number of different perspectives, various business process metamodels exist, such as simple process chains, eventdriven process chains, activity diagrams, and Petri nets."	"Business Process Model"	"Modeling Method"	"Metamodel"	"Model"
"are used to provide sophisticated features to clients"	"Server"	"Computer System"	"Physical Data Processing System"	"Computer System"
"Consensus method for the prediction of the future. A panel of experts is  • surveyed on a given topic in several iterative rounds. The result of each round is presented to each expert in anonymized form; the experts are then invited to modify their judgment in the next round.  "	"Delphi Survey"	"HIS Quality"	"Consensus Method"	"Evaluation Method"
"Comprises information about where a patient has been or where and how he or she is to be transported there"	"Patient Transport"	"Resource"	"Resource"	"Administrative Entity Type"
"How sustainable is the overall software product? For example, a R IS software is still built on the programming language that is not further supported and developed."	"Sustainability"	"Evaluation Criterion"	"Sustainability"	"Quality of Computer-Based Application Components and Their Integration"
"X, there is a separate application server and a separate database server. The database server is responsible for storing the data, and on the application server the application components are installed and executed."	"3-tier Architecture"	"Server"	"Architectural Style"	"Architectural Style of The Physical Tool Layer"
"For example, the tools used in the intensive care unit are certified according to the national law for medical devices."	"certifiable physical data processing system"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"addresses the most severe problems that cannot be solved by the second-level support. It can consist, for example, of specialists from the software vendor"	"Third-Level Support"	"IT Support"	"Information Management"	"Information Management"
"For example, all client computers used are not older than 3 years."	"up-to-dateness"	"3LGM² Physical Data Processing System"	"Application Component"	"Information Management Entity Type"
"After the discharge of the patient , patient records must be archived for a long time (e.g., for 10 or 30 years, depending on the legal regulations). The archive must offer enough space to allow the long-term storage of patient records. Their authenticity and correctness can be proven more easily, for example, in case of legal action, when they are archived in accordance with legal regulations."	"Long Term Archiving"	"entity type"	"Administrative Function"	"Electronic Patient Record"
"A X has similar features as a laboratory information system (LIS), e.g., receiving orders , writing reports."	"Pathology Information System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"Reinterpretable representation of information or knowledge in a formalized manner suitable for communication, interpretation, or processing by humans or machines. Formalization may take the form of discrete characters or of continuous signals (e.g., sound signals). To be reinterpretable, there have to be agreements on how X represent information.335"	"Data"	"entity type"	"Data"	"Knowledge"
"Fundamental organization of an information system, represented by its components, their relationships to each other and to the environment, and by the principles guiding its design and evolution. Architectures can be summarized into certain architectural styles."	"Architecture of an Information System"	"entity type"	"software product"	"Architectural Style"
"Anyone who has direct or indirect influence on or interest in a component of an information system."	"HIS Stakeholder"	"top class"	"entity type"	"Function"
"Part 9241-110 of this standard deals with dialogue principles for user interface design"	"ISO 9241-110"	"Standard"	"ISO Standard"	"ISO 9241-110 User Interface Design Quality"
"Condition of an information system in which the context (e.g., patient identification) is preserved when the user switches between application components. The general aim is that a task that has already been executed once for a certain purpose does not need to be repeated again to achieve the same purpose. This type of integration is also referred to as visual integration."	"Contextual Integration"	"Integration"	"Information Management Entity Type"	"Leanness of Information Processing Tools"
"Application component providing a correct patient identification number even in transinstitutional information systems with several patient administration systems. Manually or semiautomatically found relationships of patient identification numbers from different institutions are saved in one network MPI and are made available to all member institutions."	"Master Patient Index"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"An (AC n , V n ) architecture where the different application components are based on software from different vendors is commonly denoted as “best-of-breed,” pointing to the fact that the hospital combines the “best” software products from different vendors."	"Best-of-Breed-Architecture"	"ACn Style"	"Application Component Style"	"Architectural Style"
"Socio-technical subsystem of a hospital that comprises all information processing as well as the associated human or technical actors in their respective information processing roles. The aim of a X is to sufficiently enable the adequate execution of hospital functions for patient care."	"Hospital Information System"	"HIS Component"	"Information Management"	"Computer-Based Information Processing"
"Application component supporting specific documentation tasks (e.g., patient history, planning of care, progress notes, report writing). Typically, it contains specialized modules for different medical fields."	"Medical Documentation System"	"Computer-Based Application System"	"Transfer"	"Ward"
"Process of entering and transmitting a clinical order to a specialized diagnostic or therapeutic service unit (e.g., lab, radiology, surgery) or to another health care professional. The available service spectrum offered by a service unit may be presented in the form of catalogs."	"Order Entry"	"Case"	"Order"	"Patient"
"Relevant data and documents containing patient information must be created, gathered, presented, and stored such that they are efficiently retrievable during the whole process of patient treatment. The storage of these data and documents is primarily done in patient records. Today, usually a mixture of paper-based and computer-based patient records is used. Certain legal requirements usually must be considered."	"Archiving of Patient Information"	"Archiving"	"Case"	"Patient"
"Assessment of the user friendliness of an IT component with special  • focus on the interaction between an IT component and its users"	"Usability Study"	"HIS Quality"	"Evaluation Method"	"Research and Education Entity Type"
"Is a quantitative measurement for monitoring the achievement of strategic goals (facility management KPI, information system KPI, human resource KPI, patient administration KPI, resource KPI). Quantitative measures for regularly monitoring the achievement of strategic goals of an enterprise. Can be used for benchmarking of health information systems."	"Key Performance Indicator"	"entity type"	"software product"	"Information Management Entity Type"
"Subfunction of patient admission. Comprises patient identification and documentation of main administrative data during the admission of a patient to an institution. Includes assignment of a patient identification number and of a visit number (case identifier)."	"Administrative Admission"	"Appointment"	"Bed"	"Case"
"Socio-technical subsystem of an institution that comprises all information processing as well as the associated human or technical actors in their respective information processing roles. An X can be divided into sub-Xs."	"Information System"	"Business Process"	"Computer-Based Part of Information System"	"Physical Data Processing Tool"
"The details of the HIS architecture are described in an up-to-date documentation (e.g., using 3LGM ² as modeling language)."	"Transparency"	"3LGM²"	"UML Class Diagram"	"3LGM² Domain Layer"
"As their names imply, providing interfaces and invoking interfaces, each belonging to only one application component, are able to provide or to invoke services."	"3LGM²-S Invoking Interface"	"UML Abstract Class"	"3LGM² Communication Interface"	"3LGM² Entity Type"
" This  comprises  open,  less-standardized,  nonquantitative  observations  of  processes  or events. In contrary to quantitative observations, the aim is not to count and measure, but to get insight into a situation."	"Qualitative Observation"	"Evaluation Method"	"Observation Protocol"	"Qualitative Evaluation Method"
"An X interprets data about certain entity types and updates data of certain entity types. Instantiation of an enterprise function. Different from enterprise functions, activities have a definite beginning and end."	"Activity"	"entity type"	"Function"	"Activity"
"Model describing the information processing tools used in an enterprise. Concepts typically offered are physical data processing systems and application components."	"Technical Model"	"Metamodel"	"Model"	"Model"
"Enables evaluations of radiological images from (external) radiologists’ remote workplaces and may be closely connected to RIS and PACS"	"Teleradiology System"	"Computer-Based Application System"	"Teleradiology"	"computer based application component"
"Is a person who is a subject of care; information about a X includes the X identification number (PIN)"	"Patient"	"Bed"	"Case"	"Physician"
" Qualitative methods deal with qualitative data, that is, with text and any other non-number data. Qualitative data can describe individual situations and contexts in detail"	"Qualitative Evaluation Method"	"HIS Quality"	"Evaluation Method"	"Research and Education Entity Type"
"A subset of the components of an information system and the relationships between them. A X is a subsystem of the overall information system and thus itself an information system."	"Sub-Information System"	"top class"	"entity type"	"Function"
"Application component supporting the management of analysis in a laboratory: the receipt of the order and the sample , the distribution of the sample and the order to the different analysis tools, the collection of the results, the validation of results, the communication of the findings back to the ordering department, as well as general quality management procedures."	"Laboratory Information System"	"Computer-Based Application System"	"computer based application component"	"SAPS"
"X is a matter of finding optima in a multidimensional space with myriads of restrictions. Due to this it is hardly possible to provide information managers with a simple checklist to find out whether the HIS is good or not. Several specific approaches and initiatives are dealing with this issues of X.  [Anna Lörke according to Winter et al.]"	"HIS Quality"	"entity type"	"software product"	"Information Management Entity Type"
"Provides an exclusively used, secure, and trustworthy communication network, based on Internet and encryption technologies. Can be established and used by health care networks."	"Virtual Private Network"	"Network"	"Communication Network"	"Communication Protocol"
"Can an application component provide defined services for a defined time under certain conditions? For example, a RIS has no down-times and is tolerant with regard to wrong data entry by a user."	"Reliability"	"ISO Standard"	"ISO 25000 Software Quality"	"Software Quality"
"Used by application components for communication among themselves. Can either send or receive data about entity types. Part of a communication link."	"Communication Interface"	"top class"	"entity type"	"Function"
"In each country, different laws affect health information processing, addressing, for example, organization of health care, financing of health care, and health statistics. Those laws must be taken into account by information management. "	"Fulfillment of Laws relevant to Information Management"	"BPflV"	"IuKDG"	"Function"
"The X offers similar features as the medical documentation system. Application component for nursing documentation, supporting all phases of the nursing process such as nursing patient history, nursing care planning, execution of nursing tasks, and evaluation of results."	"Nursing Management and Documentation System"	"Computer-Based Application System"	"Case"	"Diagnosis"
"For architectures in which computer-based application components provide s ervices to be used by other computer-based application components (so-called service-oriented architectures), the concepts of X are useful for modeling."	"3LGM²-S"	"3LGM²"	"Middleware"	"SOA"
"A physical data processing system is a physically touchable object or a simulated physically touchable object being able to receive, store, forward, or purposefully manipulate data. We denote receiving, storing, forwarding and purposeful manipulation of data as data processing. This data processing is controlled by rules"	"3LGM² Physical Data Processing System"	"UML Attribute"	"UML Class"	"UML Method"
"X eliminates annoying multiple user logins for different application components by passing data about user authorization to the other application components when the user has logged in at an involved application component"	"Single-Sign-On"	"entity type"	"software product"	"Information Management Entity Type"
"How much resources are needed for an application component? For example, a RIS has a good response rate of less than 1 s for most of the functionalities."	"Efficiency"	"ISO Standard"	"ISO 25000 Software Quality"	"Software Quality"
"Shortly summarizes diagnoses , treatment, and recommendations which are necessary for the health care institutions providing further treatment"	"Discharge Summary"	"Diagnosis"	"entity type"	"Patient Care Entity Type"
"A subset of all components of a system, together with the relationships between them."	"Subsystem"	"top class"	"entity type"	"Function"
"X (ITSM) is information management centered on the customer’s perspective of IT’s contribution to the business, in contrast to technology-centered approaches. It comprises all measures and methods that are necessary to support the business processes. Information management that is centered on the customer’s perspective of the contribution of a HIS to a business, in contrast to more technology-centered approaches. The IT Infrastructure Library (ITIL) is the de-facto standard framework for X."	"IT Service Management"	"Backbone"	"Framework"	"Network"
"This reference model provides a framework for describing communication between computers at seven levels. Standards for the respective communication protocols such as TCP/IP are available for each level"	"ISO/OSI Reference Model"	"Metamodel"	"Model"	"Information Management Entity Type"
"Is a unique undertaking that is characterized by management by objectives, by restrictions with regard to available time and resources, and by a specific X organization (DIN 69901)"	"Project"	"entity type"	"software product"	"Information Management Entity Type"
"Xs, which combine different metamodels into an integrated, enterprise-wide view on information processing in an institution.Xs, which combine different metamodels into an integrated, enterprise-wide view on information processing in an institution."	"Information System Metamodel"	"Framework"	"Metamodel"	"Model"
"Responsible for setting and carrying out the strategic plans and policies of an enterprise."	"Chief Executive Officer"	"HIS Stakeholder"	"Hospital Staff"	"Human Resource"
"The X supports operation planning and operation documentation as a specialization of execution of diagnositc and therapeutic procedures. Application component that supports planning and documentation within operation rooms."	"Operation Management System"	"Computer-Based Application System"	"Appointment"	"Case"
"The X is comparable to the medical documentation system.Application Component for outpatient units, supporting, among others, appointment scheduling, medical documentation, work organization, and billing."	"Outpatient Management System"	"Computer-Based Application System"	"Bill"	"Case"
"Provides many features of a CIS while tailoring the special needs of an orthopedics department, can include a computer-aided design (CAD) system for transplant planning"	"Orthopedics Information System"	"Computer-Based Application System"	"computer based application component"	"Application Component"
"X stands for messages related to admission, discharge, and transfer of a patient. Admission, discharge, and transfer of a patient, as part of patient administration."	"ADT"	"HL7 Event Description"	"HL7 Message Header"	"HL7 Message Type"
"The physical tool layer is a set of physical data processing systems."	"3LGM² Physical Tool Layer"	"entity type"	"software product"	"UML Class"
"generalization of findings and experiences to gain new knowledge.120"	"Clinical Research"	"Finding"	"Research and Education Function"	"Hospital Function"
"Tool that generates images.143"	"Imaging Modality"	"Resource"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Radiological Procedures"
"In DB n-styled information systems patient data and data of other objects are often stored redundantly, that is, there are copies of data representing the same information about one particular object. Obviously these copies are supposed to be identical at all sites where they are stored. In other words, even redundant data must not be contradictory. We denote this type of integrity X."	"Consistency"	"Integrity"	"Integrity of Data"	"Quality of Data"
